pair,ema,bol_band,bol_std,result
BTC/USDT,25,69,21,307.97
DOGE/USDT,25,69,21,589.68
NEAR/USDT,25,69,21,-61.44
TIA/USDT,25,69,21,-108.82
TAO/USDT,25,69,21,-6.3
TON/USDT,25,69,21,-14.08
ETH/USDT,25,69,22,505.04
BTC/USDT,25,69,22,309.46
DOGE/USDT,25,69,22,605.52
NEAR/USDT,25,69,22,-69.06
TIA/USDT,25,69,22,-93.41
TAO/USDT,25,69,22,-3.29
TON/USDT,25,69,22,-12.57
ETH/USDT,25,69,23,459.8
BTC/USDT,25,69,23,271.46
DOGE/USDT,25,69,23,577.74
NEAR/USDT,25,69,23,-84.61
TIA/USDT,25,69,23,-85.84
TAO/USDT,25,69,23,-3.3
TON/USDT,25,69,23,-10.14
BTC/USDT,25,69,24,250.34
ETH/USDT,25,69,24,447.46
DOGE/USDT,25,69,24,590.54
NEAR/USDT,25,69,24,-82.28
TIA/USDT,25,69,24,-59.39
TAO/USDT,25,69,24,0.49
TON/USDT,25,69,24,-11.55
BTC/USDT,25,69,25,275.38
ETH/USDT,25,69,25,429.44
DOGE/USDT,25,69,25,554.28
NEAR/USDT,25,69,25,-51.82
TIA/USDT,25,69,25,-55.73
TAO/USDT,25,69,25,-16.3
TON/USDT,25,69,25,-14.95
ETH/USDT,25,69,26,401.39
BTC/USDT,25,69,26,267.08
DOGE/USDT,25,69,26,550.74
NEAR/USDT,25,69,26,-25.79
TIA/USDT,25,69,26,-57.36
TAO/USDT,25,69,26,-29.73
TON/USDT,25,69,26,-13.18
ETH/USDT,25,69,27,326.45
BTC/USDT,25,69,27,266.12
DOGE/USDT,25,69,27,484.39
NEAR/USDT,25,69,27,-50.41
TIA/USDT,25,69,27,-46.74
TAO/USDT,25,69,27,-30.64
TON/USDT,25,69,27,-13.53
ETH/USDT,25,69,28,371.97
BTC/USDT,25,69,28,261.42
DOGE/USDT,25,69,28,475.33
NEAR/USDT,25,69,28,-95.74
TIA/USDT,25,69,28,-41.45
TAO/USDT,25,69,28,-43.96
TON/USDT,25,69,28,-13.53
ETH/USDT,25,69,29,403.81
BTC/USDT,25,69,29,264.26
DOGE/USDT,25,69,29,449.39
NEAR/USDT,25,69,29,-119.55
TIA/USDT,25,69,29,-24.95
TAO/USDT,25,69,29,-30.27
TON/USDT,25,69,29,-12.63
ETH/USDT,25,70,17,456.04
BTC/USDT,25,70,17,238.07
DOGE/USDT,25,70,17,644.77
NEAR/USDT,25,70,17,65.56
TIA/USDT,25,70,17,-46.27
TAO/USDT,25,70,17,2.11
TON/USDT,25,70,17,-16.51
ETH/USDT,25,70,18,456.13
BTC/USDT,25,70,18,251.89
DOGE/USDT,25,70,18,609.43
NEAR/USDT,25,70,18,5.25
TIA/USDT,25,70,18,-56.6
TAO/USDT,25,70,18,2.25
TON/USDT,25,70,18,-14.0
ETH/USDT,25,70,19,447.75
BTC/USDT,25,70,19,252.05
DOGE/USDT,25,70,19,587.97
NEAR/USDT,25,70,19,1.1
TIA/USDT,25,70,19,-74.67
TAO/USDT,25,70,19,-12.91
TON/USDT,25,70,19,-12.95
ETH/USDT,25,70,20,473.71
BTC/USDT,25,70,20,280.93
DOGE/USDT,25,70,20,572.32
NEAR/USDT,25,70,20,-6.52
TIA/USDT,25,70,20,-84.03
TAO/USDT,25,70,20,-6.53
TON/USDT,25,70,20,-13.04
ETH/USDT,25,70,21,502.63
BTC/USDT,25,70,21,316.55
DOGE/USDT,25,70,21,626.0
NEAR/USDT,25,70,21,-71.54
TIA/USDT,25,70,21,-106.39
TAO/USDT,25,70,21,-4.27
TON/USDT,25,70,21,-14.08
ETH/USDT,25,70,22,524.72
BTC/USDT,25,70,22,308.78
DOGE/USDT,25,70,22,573.3
NEAR/USDT,25,70,22,-74.96
TIA/USDT,25,70,22,-91.72
TAO/USDT,25,70,22,-1.22
TON/USDT,25,70,22,-9.69
BTC/USDT,25,70,23,272.56
ETH/USDT,25,70,23,473.01
DOGE/USDT,25,70,23,567.81
NEAR/USDT,25,70,23,-77.67
TIA/USDT,25,70,23,-80.94
TAO/USDT,25,70,23,-0.78
TON/USDT,25,70,23,-11.71
BTC/USDT,25,70,24,279.48
ETH/USDT,25,70,24,483.57
DOGE/USDT,25,70,24,587.55
NEAR/USDT,25,70,24,-74.42
TIA/USDT,25,70,24,-62.7
TAO/USDT,25,70,24,-7.8
TON/USDT,25,70,24,-11.74
BTC/USDT,25,70,25,258.33
ETH/USDT,25,70,25,432.82
DOGE/USDT,25,70,25,546.59
NEAR/USDT,25,70,25,-34.99
TIA/USDT,25,70,25,-74.68
TAO/USDT,25,70,25,-22.36
TON/USDT,25,70,25,-15.85
ETH/USDT,25,70,26,399.25
BTC/USDT,25,70,26,267.96
DOGE/USDT,25,70,26,523.23
NEAR/USDT,25,70,26,-15.43
TIA/USDT,25,70,26,-57.69
TAO/USDT,25,70,26,-29.89
TON/USDT,25,70,26,-13.18
ETH/USDT,25,70,27,302.84
BTC/USDT,25,70,27,266.52
DOGE/USDT,25,70,27,480.55
NEAR/USDT,25,70,27,-31.69
TIA/USDT,25,70,27,-39.73
TAO/USDT,25,70,27,-26.75
TON/USDT,25,70,27,-13.53
ETH/USDT,25,70,28,353.89
BTC/USDT,25,70,28,290.14
DOGE/USDT,25,70,28,475.75
NEAR/USDT,25,70,28,-90.75
TIA/USDT,25,70,28,-41.6
TAO/USDT,25,70,28,-40.97
TON/USDT,25,70,28,-14.54
ETH/USDT,25,70,29,405.01
BTC/USDT,25,70,29,271.33
DOGE/USDT,25,70,29,432.05
NEAR/USDT,25,70,29,-104.2
TIA/USDT,25,70,29,-24.95
TAO/USDT,25,70,29,-36.4
TON/USDT,25,70,29,-11.69
ETH/USDT,25,71,17,438.49
BTC/USDT,25,71,17,238.88
DOGE/USDT,25,71,17,633.69
NEAR/USDT,25,71,17,41.03
TIA/USDT,25,71,17,-47.89
TAO/USDT,25,71,17,11.33
TON/USDT,25,71,17,-16.51
ETH/USDT,25,71,18,451.11
BTC/USDT,25,71,18,252.79
DOGE/USDT,25,71,18,615.99
NEAR/USDT,25,71,18,4.38
TIA/USDT,25,71,18,-62.81
TAO/USDT,25,71,18,6.92
TON/USDT,25,71,18,-13.35
ETH/USDT,25,71,19,432.83
BTC/USDT,25,71,19,253.4
DOGE/USDT,25,71,19,590.97
NEAR/USDT,25,71,19,-5.71
TIA/USDT,25,71,19,-76.17
TAO/USDT,25,71,19,-14.21
TON/USDT,25,71,19,-15.67
ETH/USDT,25,71,20,490.34
BTC/USDT,25,71,20,300.42
DOGE/USDT,25,71,20,587.74
NEAR/USDT,25,71,20,5.07
TIA/USDT,25,71,20,-76.78
TAO/USDT,25,71,20,-4.79
TON/USDT,25,71,20,-10.16
ETH/USDT,25,71,21,518.36
BTC/USDT,25,71,21,307.58
DOGE/USDT,25,71,21,594.13
NEAR/USDT,25,71,21,-61.95
TIA/USDT,25,71,21,-99.23
TAO/USDT,25,71,21,-4.74
TON/USDT,25,71,21,-11.2
ETH/USDT,25,71,22,525.53
BTC/USDT,25,71,22,303.22
DOGE/USDT,25,71,22,579.16
NEAR/USDT,25,71,22,-87.65
TIA/USDT,25,71,22,-83.48
TAO/USDT,25,71,22,-4.39
TON/USDT,25,71,22,-11.05
BTC/USDT,25,71,23,280.43
ETH/USDT,25,71,23,476.61
DOGE/USDT,25,71,23,573.23
NEAR/USDT,25,71,23,-86.26
TIA/USDT,25,71,23,-71.38
TAO/USDT,25,71,23,-0.02
TON/USDT,25,71,23,-11.71
BTC/USDT,25,71,24,267.87
ETH/USDT,25,71,24,455.97
DOGE/USDT,25,71,24,547.57
NEAR/USDT,25,71,24,-38.44
TIA/USDT,25,71,24,-61.06
TAO/USDT,25,71,24,5.76
TON/USDT,25,71,24,-11.55
BTC/USDT,25,71,25,252.57
ETH/USDT,25,71,25,449.74
DOGE/USDT,25,71,25,538.05
NEAR/USDT,25,71,25,-9.7
TIA/USDT,25,71,25,-82.45
TAO/USDT,25,71,25,-22.36
TON/USDT,25,71,25,-15.85
ETH/USDT,25,71,26,384.03
BTC/USDT,25,71,26,260.73
DOGE/USDT,25,71,26,506.35
NEAR/USDT,25,71,26,-17.39
TIA/USDT,25,71,26,-52.05
TAO/USDT,25,71,26,-31.89
TON/USDT,25,71,26,-13.18
ETH/USDT,25,71,27,343.72
BTC/USDT,25,71,27,269.84
DOGE/USDT,25,71,27,487.54
NEAR/USDT,25,71,27,-46.62
TIA/USDT,25,71,27,-37.83
TAO/USDT,25,71,27,-29.78
TON/USDT,25,71,27,-13.53
ETH/USDT,25,71,28,357.37
BTC/USDT,25,71,28,293.18
DOGE/USDT,25,71,28,451.5
NEAR/USDT,25,71,28,-81.84
TIA/USDT,25,71,28,-38.31
TAO/USDT,25,71,28,-41.92
TON/USDT,25,71,28,-14.54
ETH/USDT,25,71,29,371.12
BTC/USDT,25,71,29,270.11
DOGE/USDT,25,71,29,409.23
NEAR/USDT,25,71,29,-136.66
TIA/USDT,25,71,29,-28.37
TAO/USDT,25,71,29,-36.4
TON/USDT,25,71,29,-8.4
ETH/USDT,25,72,17,423.88
BTC/USDT,25,72,17,230.08
DOGE/USDT,25,72,17,647.27
NEAR/USDT,25,72,17,43.56
TIA/USDT,25,72,17,-53.75
TAO/USDT,25,72,17,10.98
TON/USDT,25,72,17,-17.72
ETH/USDT,25,72,18,422.22
BTC/USDT,25,72,18,264.43
DOGE/USDT,25,72,18,610.16
NEAR/USDT,25,72,18,-5.34
TIA/USDT,25,72,18,-68.53
TAO/USDT,25,72,18,4.73
TON/USDT,25,72,18,-12.28
ETH/USDT,25,72,19,466.34
BTC/USDT,25,72,19,276.93
DOGE/USDT,25,72,19,585.8
NEAR/USDT,25,72,19,-6.71
TIA/USDT,25,72,19,-74.81
TAO/USDT,25,72,19,-4.35
TON/USDT,25,72,19,-11.66
ETH/USDT,25,72,20,495.49
BTC/USDT,25,72,20,270.85
DOGE/USDT,25,72,20,606.59
NEAR/USDT,25,72,20,4.83
TIA/USDT,25,72,20,-71.18
TAO/USDT,25,72,20,-4.6
TON/USDT,25,72,20,-10.62
ETH/USDT,25,72,21,504.61
BTC/USDT,25,72,21,312.49
DOGE/USDT,25,72,21,607.07
NEAR/USDT,25,72,21,-9.91
TIA/USDT,25,72,21,-90.95
TAO/USDT,25,72,21,-0.2
TON/USDT,25,72,21,-13.06
ETH/USDT,25,72,22,547.52
BTC/USDT,25,72,22,315.47
DOGE/USDT,25,72,22,567.52
NEAR/USDT,25,72,22,-74.29
TIA/USDT,25,72,22,-84.68
TAO/USDT,25,72,22,-0.83
TON/USDT,25,72,22,-10.46
BTC/USDT,25,72,23,277.51
ETH/USDT,25,72,23,475.04
DOGE/USDT,25,72,23,573.34
NEAR/USDT,25,72,23,-92.79
TIA/USDT,25,72,23,-62.28
TAO/USDT,25,72,23,6.55
TON/USDT,25,72,23,-11.71
BTC/USDT,25,72,24,266.37
ETH/USDT,25,72,24,464.83
DOGE/USDT,25,72,24,527.63
NEAR/USDT,25,72,24,-33.38
TIA/USDT,25,72,24,-62.48
TAO/USDT,25,72,24,-0.31
TON/USDT,25,72,24,-11.74
BTC/USDT,25,72,25,268.91
ETH/USDT,25,72,25,434.41
DOGE/USDT,25,72,25,545.52
NEAR/USDT,25,72,25,-11.56
TIA/USDT,25,72,25,-80.94
TAO/USDT,25,72,25,-10.66
TON/USDT,25,72,25,-15.51
ETH/USDT,25,72,26,387.31
BTC/USDT,25,72,26,262.55
DOGE/USDT,25,72,26,494.4
NEAR/USDT,25,72,26,-21.56
TIA/USDT,25,72,26,-57.76
TAO/USDT,25,72,26,-31.93
TON/USDT,25,72,26,-16.68
ETH/USDT,25,72,27,357.24
BTC/USDT,25,72,27,273.74
DOGE/USDT,25,72,27,480.92
NEAR/USDT,25,72,27,-16.13
TIA/USDT,25,72,27,-33.98
TAO/USDT,25,72,27,-29.78
TON/USDT,25,72,27,-13.53
ETH/USDT,25,72,28,340.61
BTC/USDT,25,72,28,293.09
DOGE/USDT,25,72,28,472.01
NEAR/USDT,25,72,28,-89.77
TIA/USDT,25,72,28,-39.37
TAO/USDT,25,72,28,-43.42
TON/USDT,25,72,28,-14.81
ETH/USDT,25,72,29,372.69
BTC/USDT,25,72,29,300.35
DOGE/USDT,25,72,29,411.56
NEAR/USDT,25,72,29,-123.51
TIA/USDT,25,72,29,-35.94
TAO/USDT,25,72,29,-38.28
TON/USDT,25,72,29,-8.85
ETH/USDT,25,73,17,452.73
BTC/USDT,25,73,17,238.26
DOGE/USDT,25,73,17,647.83
NEAR/USDT,25,73,17,59.32
TIA/USDT,25,73,17,-52.6
TAO/USDT,25,73,17,12.83
TON/USDT,25,73,17,-14.84
ETH/USDT,25,73,18,416.65
BTC/USDT,25,73,18,281.47
DOGE/USDT,25,73,18,617.61
NEAR/USDT,25,73,18,38.68
TIA/USDT,25,73,18,-70.2
TAO/USDT,25,73,18,0.05
TON/USDT,25,73,18,-11.34
ETH/USDT,25,73,19,498.33
BTC/USDT,25,73,19,278.72
DOGE/USDT,25,73,19,585.97
NEAR/USDT,25,73,19,17.61
TIA/USDT,25,73,19,-78.01
TAO/USDT,25,73,19,-2.02
TON/USDT,25,73,19,-13.65
ETH/USDT,25,73,20,480.35
BTC/USDT,25,73,20,271.6
DOGE/USDT,25,73,20,616.03
NEAR/USDT,25,73,20,15.73
TIA/USDT,25,73,20,-96.25
TAO/USDT,25,73,20,-2.27
TON/USDT,25,73,20,-10.62
ETH/USDT,25,73,21,524.16
BTC/USDT,25,73,21,293.69
DOGE/USDT,25,73,21,599.42
NEAR/USDT,25,73,21,0.2
TIA/USDT,25,73,21,-88.82
TAO/USDT,25,73,21,-2.23
TON/USDT,25,73,21,-13.06
ETH/USDT,25,73,22,538.33
BTC/USDT,25,73,22,317.47
DOGE/USDT,25,73,22,566.1
NEAR/USDT,25,73,22,-57.47
TIA/USDT,25,73,22,-85.89
TAO/USDT,25,73,22,-1.87
TON/USDT,25,73,22,-10.46
BTC/USDT,25,73,23,300.98
ETH/USDT,25,73,23,479.7
DOGE/USDT,25,73,23,561.35
NEAR/USDT,25,73,23,-95.0
TIA/USDT,25,73,23,-54.32
TAO/USDT,25,73,23,2.27
TON/USDT,25,73,23,-11.71
BTC/USDT,25,73,24,270.22
ETH/USDT,25,73,24,459.71
DOGE/USDT,25,73,24,516.25
NEAR/USDT,25,73,24,-43.4
TIA/USDT,25,73,24,-65.63
TAO/USDT,25,73,24,-0.73
TON/USDT,25,73,24,-11.74
BTC/USDT,25,73,25,272.95
ETH/USDT,25,73,25,424.11
DOGE/USDT,25,73,25,532.53
NEAR/USDT,25,73,25,-4.96
TIA/USDT,25,73,25,-72.57
TAO/USDT,25,73,25,-8.45
TON/USDT,25,73,25,-14.86
ETH/USDT,25,73,26,405.97
BTC/USDT,25,73,26,274.74
DOGE/USDT,25,73,26,497.49
NEAR/USDT,25,73,26,-25.47
TIA/USDT,25,73,26,-64.46
TAO/USDT,25,73,26,-31.93
TON/USDT,25,73,26,-16.68
ETH/USDT,25,73,27,357.99
BTC/USDT,25,73,27,297.44
DOGE/USDT,25,73,27,497.22
NEAR/USDT,25,73,27,-29.06
TIA/USDT,25,73,27,-36.19
TAO/USDT,25,73,27,-41.0
TON/USDT,25,73,27,-13.53
ETH/USDT,25,73,28,335.37
BTC/USDT,25,73,28,300.75
DOGE/USDT,25,73,28,424.32
NEAR/USDT,25,73,28,-73.91
TIA/USDT,25,73,28,-41.11
TAO/USDT,25,73,28,-40.31
TON/USDT,25,73,28,-13.05
ETH/USDT,25,73,29,356.55
BTC/USDT,25,73,29,308.87
DOGE/USDT,25,73,29,408.33
NEAR/USDT,25,73,29,-114.12
TIA/USDT,25,73,29,-41.0
TAO/USDT,25,73,29,-38.28
TON/USDT,25,73,29,-8.85
ETH/USDT,25,74,17,453.65
BTC/USDT,25,74,17,246.59
DOGE/USDT,25,74,17,658.38
NEAR/USDT,25,74,17,55.72
TIA/USDT,25,74,17,-45.62
TAO/USDT,25,74,17,11.41
TON/USDT,25,74,17,-13.41
ETH/USDT,25,74,18,431.8
BTC/USDT,25,74,18,274.53
DOGE/USDT,25,74,18,611.71
NEAR/USDT,25,74,18,15.1
TIA/USDT,25,74,18,-68.61
TAO/USDT,25,74,18,-2.85
TON/USDT,25,74,18,-11.34
ETH/USDT,25,74,19,472.69
BTC/USDT,25,74,19,268.36
DOGE/USDT,25,74,19,591.54
NEAR/USDT,25,74,19,23.29
TIA/USDT,25,74,19,-72.85
TAO/USDT,25,74,19,-7.05
TON/USDT,25,74,19,-12.76
ETH/USDT,25,74,20,479.52
BTC/USDT,25,74,20,259.58
DOGE/USDT,25,74,20,628.89
NEAR/USDT,25,74,20,30.88
TIA/USDT,25,74,20,-101.07
TAO/USDT,25,74,20,3.49
TON/USDT,25,74,20,-10.62
ETH/USDT,25,74,21,507.59
BTC/USDT,25,74,21,294.27
DOGE/USDT,25,74,21,623.73
NEAR/USDT,25,74,21,-34.49
TIA/USDT,25,74,21,-91.02
TAO/USDT,25,74,21,-2.23
TON/USDT,25,74,21,-10.46
ETH/USDT,25,74,22,523.2
BTC/USDT,25,74,22,312.54
DOGE/USDT,25,74,22,559.78
NEAR/USDT,25,74,22,-39.5
TIA/USDT,25,74,22,-88.7
TAO/USDT,25,74,22,-14.2
TON/USDT,25,74,22,-10.57
ETH/USDT,25,74,23,466.84
BTC/USDT,25,74,23,292.69
DOGE/USDT,25,74,23,548.67
NEAR/USDT,25,74,23,-77.24
TIA/USDT,25,74,23,-56.76
TAO/USDT,25,74,23,-1.56
TON/USDT,25,74,23,-11.71
BTC/USDT,25,74,24,294.91
ETH/USDT,25,74,24,455.58
DOGE/USDT,25,74,24,502.91
NEAR/USDT,25,74,24,-47.47
TIA/USDT,25,74,24,-77.97
TAO/USDT,25,74,24,-4.45
TON/USDT,25,74,24,-11.74
ETH/USDT,25,74,25,424.74
BTC/USDT,25,74,25,279.72
DOGE/USDT,25,74,25,507.04
NEAR/USDT,25,74,25,10.14
TIA/USDT,25,74,25,-72.79
TAO/USDT,25,74,25,-8.54
TON/USDT,25,74,25,-15.18
ETH/USDT,25,74,26,403.16
BTC/USDT,25,74,26,278.22
DOGE/USDT,25,74,26,499.11
NEAR/USDT,25,74,26,-17.23
TIA/USDT,25,74,26,-60.99
TAO/USDT,25,74,26,-27.61
TON/USDT,25,74,26,-16.68
ETH/USDT,25,74,27,361.67
BTC/USDT,25,74,27,315.15
DOGE/USDT,25,74,27,458.96
NEAR/USDT,25,74,27,-30.85
TIA/USDT,25,74,27,-41.89
TAO/USDT,25,74,27,-41.0
TON/USDT,25,74,27,-16.52
ETH/USDT,25,74,28,321.86
BTC/USDT,25,74,28,303.66
DOGE/USDT,25,74,28,416.98
NEAR/USDT,25,74,28,-55.56
TIA/USDT,25,74,28,-49.74
TAO/USDT,25,74,28,-37.33
TON/USDT,25,74,28,-13.05
ETH/USDT,25,74,29,325.16
BTC/USDT,25,74,29,308.88
DOGE/USDT,25,74,29,377.92
NEAR/USDT,25,74,29,-80.09
TIA/USDT,25,74,29,-45.16
TAO/USDT,25,74,29,-41.2
TON/USDT,25,74,29,-8.85
ETH/USDT,25,75,17,448.35
BTC/USDT,25,75,17,257.18
DOGE/USDT,25,75,17,635.17
NEAR/USDT,25,75,17,47.65
TIA/USDT,25,75,17,-50.93
TAO/USDT,25,75,17,12.11
TON/USDT,25,75,17,-13.41
ETH/USDT,25,75,18,439.36
BTC/USDT,25,75,18,278.6
DOGE/USDT,25,75,18,617.03
NEAR/USDT,25,75,18,61.22
TIA/USDT,25,75,18,-64.3
TAO/USDT,25,75,18,0.03
TON/USDT,25,75,18,-13.49
ETH/USDT,25,75,19,486.17
BTC/USDT,25,75,19,275.7
DOGE/USDT,25,75,19,636.4
NEAR/USDT,25,75,19,45.12
TIA/USDT,25,75,19,-65.88
TAO/USDT,25,75,19,-3.35
TON/USDT,25,75,19,-12.76
ETH/USDT,25,75,20,473.05
BTC/USDT,25,75,20,244.02
DOGE/USDT,25,75,20,635.13
NEAR/USDT,25,75,20,35.22
TIA/USDT,25,75,20,-95.84
TAO/USDT,25,75,20,0.13
TON/USDT,25,75,20,-10.62
ETH/USDT,25,75,21,485.86
BTC/USDT,25,75,21,294.9
DOGE/USDT,25,75,21,617.3
NEAR/USDT,25,75,21,-5.06
TIA/USDT,25,75,21,-98.12
TAO/USDT,25,75,21,1.24
TON/USDT,25,75,21,-10.82
ETH/USDT,25,75,22,522.66
BTC/USDT,25,75,22,316.47
DOGE/USDT,25,75,22,572.09
NEAR/USDT,25,75,22,-42.16
TIA/USDT,25,75,22,-79.28
TAO/USDT,25,75,22,-13.26
TON/USDT,25,75,22,-10.57
ETH/USDT,25,75,23,461.92
BTC/USDT,25,75,23,305.03
DOGE/USDT,25,75,23,547.66
NEAR/USDT,25,75,23,-77.38
TIA/USDT,25,75,23,-65.35
TAO/USDT,25,75,23,-1.56
TON/USDT,25,75,23,-11.28
ETH/USDT,25,75,24,433.09
BTC/USDT,25,75,24,310.32
DOGE/USDT,25,75,24,500.16
NEAR/USDT,25,75,24,-20.97
TIA/USDT,25,75,24,-76.34
TAO/USDT,25,75,24,-1.83
TON/USDT,25,75,24,-11.74
ETH/USDT,25,75,25,418.05
BTC/USDT,25,75,25,297.61
DOGE/USDT,25,75,25,493.6
NEAR/USDT,25,75,25,35.34
TIA/USDT,25,75,25,-72.47
TAO/USDT,25,75,25,-17.03
TON/USDT,25,75,25,-15.18
ETH/USDT,25,75,26,410.09
BTC/USDT,25,75,26,303.19
DOGE/USDT,25,75,26,499.87
NEAR/USDT,25,75,26,-20.6
TIA/USDT,25,75,26,-61.28
TAO/USDT,25,75,26,-33.03
TON/USDT,25,75,26,-16.68
ETH/USDT,25,75,27,340.07
BTC/USDT,25,75,27,324.99
DOGE/USDT,25,75,27,446.09
NEAR/USDT,25,75,27,-39.4
TIA/USDT,25,75,27,-47.6
TAO/USDT,25,75,27,-41.0
TON/USDT,25,75,27,-16.52
ETH/USDT,25,75,28,305.32
BTC/USDT,25,75,28,310.99
DOGE/USDT,25,75,28,398.43
NEAR/USDT,25,75,28,-57.22
TIA/USDT,25,75,28,-44.76
TAO/USDT,25,75,28,-37.33
TON/USDT,25,75,28,-8.85
ETH/USDT,25,75,29,306.38
BTC/USDT,25,75,29,345.65
DOGE/USDT,25,75,29,399.63
NEAR/USDT,25,75,29,-87.44
TIA/USDT,25,75,29,-38.83
TAO/USDT,25,75,29,-39.97
TON/USDT,25,75,29,-8.85
ETH/USDT,25,76,17,444.95
BTC/USDT,25,76,17,259.39
DOGE/USDT,25,76,17,618.77
NEAR/USDT,25,76,17,59.74
TIA/USDT,25,76,17,-53.46
TAO/USDT,25,76,17,11.78
TON/USDT,25,76,17,-12.34
ETH/USDT,25,76,18,453.43
BTC/USDT,25,76,18,272.11
DOGE/USDT,25,76,18,624.92
NEAR/USDT,25,76,18,82.66
TIA/USDT,25,76,18,-57.69
TAO/USDT,25,76,18,-1.22
TON/USDT,25,76,18,-13.71
ETH/USDT,25,76,19,474.82
BTC/USDT,25,76,19,266.19
DOGE/USDT,25,76,19,604.66
NEAR/USDT,25,76,19,50.79
TIA/USDT,25,76,19,-66.55
TAO/USDT,25,76,19,-1.17
TON/USDT,25,76,19,-12.82
ETH/USDT,25,76,20,472.4
BTC/USDT,25,76,20,220.28
DOGE/USDT,25,76,20,612.21
NEAR/USDT,25,76,20,21.92
TIA/USDT,25,76,20,-100.74
TAO/USDT,25,76,20,0.85
TON/USDT,25,76,20,-11.75
ETH/USDT,25,76,21,472.63
BTC/USDT,25,76,21,272.45
DOGE/USDT,25,76,21,570.67
NEAR/USDT,25,76,21,27.03
TIA/USDT,25,76,21,-90.35
TAO/USDT,25,76,21,-2.18
TON/USDT,25,76,21,-10.82
ETH/USDT,25,76,22,489.85
BTC/USDT,25,76,22,314.62
DOGE/USDT,25,76,22,590.12
NEAR/USDT,25,76,22,-33.14
TIA/USDT,25,76,22,-91.68
TAO/USDT,25,76,22,-9.83
TON/USDT,25,76,22,-10.46
BTC/USDT,25,76,23,291.37
ETH/USDT,25,76,23,458.13
DOGE/USDT,25,76,23,537.48
NEAR/USDT,25,76,23,-56.69
TIA/USDT,25,76,23,-77.0
TAO/USDT,25,76,23,-8.2
TON/USDT,25,76,23,-11.28
ETH/USDT,25,76,24,415.36
BTC/USDT,25,76,24,312.99
DOGE/USDT,25,76,24,502.53
NEAR/USDT,25,76,24,-19.5
TIA/USDT,25,76,24,-74.58
TAO/USDT,25,76,24,-8.26
TON/USDT,25,76,24,-12.72
ETH/USDT,25,76,25,417.85
BTC/USDT,25,76,25,311.44
DOGE/USDT,25,76,25,488.38
NEAR/USDT,25,76,25,18.22
TIA/USDT,25,76,25,-66.68
TAO/USDT,25,76,25,-19.56
TON/USDT,25,76,25,-15.18
ETH/USDT,25,76,26,395.36
BTC/USDT,25,76,26,317.89
DOGE/USDT,25,76,26,488.98
NEAR/USDT,25,76,26,-18.39
TIA/USDT,25,76,26,-56.34
TAO/USDT,25,76,26,-38.8
TON/USDT,25,76,26,-16.68
ETH/USDT,25,76,27,327.53
BTC/USDT,25,76,27,330.59
DOGE/USDT,25,76,27,442.08
NEAR/USDT,25,76,27,-48.92
TIA/USDT,25,76,27,-53.12
TAO/USDT,25,76,27,-42.0
TON/USDT,25,76,27,-12.31
ETH/USDT,25,76,28,312.59
BTC/USDT,25,76,28,330.6
DOGE/USDT,25,76,28,425.72
NEAR/USDT,25,76,28,-54.57
TIA/USDT,25,76,28,-45.48
TAO/USDT,25,76,28,-37.33
TON/USDT,25,76,28,-8.85
ETH/USDT,25,76,29,288.94
BTC/USDT,25,76,29,345.12
DOGE/USDT,25,76,29,420.83
NEAR/USDT,25,76,29,-75.28
TIA/USDT,25,76,29,-50.89
TAO/USDT,25,76,29,-40.45
TON/USDT,25,76,29,-8.85
ETH/USDT,25,77,17,446.75
BTC/USDT,25,77,17,262.6
DOGE/USDT,25,77,17,611.47
NEAR/USDT,25,77,17,92.68
TIA/USDT,25,77,17,-65.22
TAO/USDT,25,77,17,11.05
TON/USDT,25,77,17,-13.04
ETH/USDT,25,77,18,453.26
BTC/USDT,25,77,18,248.9
DOGE/USDT,25,77,18,609.06
NEAR/USDT,25,77,18,106.97
TIA/USDT,25,77,18,-56.68
TAO/USDT,25,77,18,-9.57
TON/USDT,25,77,18,-13.71
ETH/USDT,25,77,19,452.02
BTC/USDT,25,77,19,247.76
DOGE/USDT,25,77,19,612.67
NEAR/USDT,25,77,19,24.37
TIA/USDT,25,77,19,-71.75
TAO/USDT,25,77,19,3.44
TON/USDT,25,77,19,-12.82
ETH/USDT,25,77,20,472.94
BTC/USDT,25,77,20,224.61
DOGE/USDT,25,77,20,617.55
NEAR/USDT,25,77,20,-14.22
TIA/USDT,25,77,20,-104.24
TAO/USDT,25,77,20,-2.78
TON/USDT,25,77,20,-11.38
ETH/USDT,25,77,21,476.06
BTC/USDT,25,77,21,291.41
DOGE/USDT,25,77,21,572.91
NEAR/USDT,25,77,21,35.47
TIA/USDT,25,77,21,-88.89
TAO/USDT,25,77,21,-2.76
TON/USDT,25,77,21,-10.82
ETH/USDT,25,77,22,474.72
BTC/USDT,25,77,22,322.86
DOGE/USDT,25,77,22,577.01
NEAR/USDT,25,77,22,-50.87
TIA/USDT,25,77,22,-99.11
TAO/USDT,25,77,22,-10.57
TON/USDT,25,77,22,-10.57
ETH/USDT,25,77,23,456.9
BTC/USDT,25,77,23,310.84
DOGE/USDT,25,77,23,523.55
NEAR/USDT,25,77,23,-45.19
TIA/USDT,25,77,23,-79.16
TAO/USDT,25,77,23,-0.48
TON/USDT,25,77,23,-11.6
ETH/USDT,25,77,24,416.21
BTC/USDT,25,77,24,328.31
